Dataset,Local Method,Global Method,Weight Local,Weight Global,AUC-ROC,AUC-PR,F1-score,Precision,Recall,MCC
2_annthyroid.npz,KNN,HBOS,0.1,0.9,0.629783203039405,0.18462964356947636,0.24161073825503354,0.3,0.20224719101123595,0.1977153817406203
2_annthyroid.npz,KNN,OCSVM,0.9,0.1,0.7280500521962308,0.20504632938296025,0.24161073825503354,0.3,0.20224719101123595,0.1977153817406203
2_annthyroid.npz,KNN,OCSVM,0.8,0.2,0.7005208947861079,0.1873072787165905,0.21476510067114093,0.26666666666666666,0.1797752808988764,0.168532299564883
2_annthyroid.npz,KNN,OCSVM,0.7,0.3,0.6741609554213848,0.16688384902608203,0.17449664429530198,0.21666666666666667,0.14606741573033707,0.12475767630127702
2_annthyroid.npz,KNN,OCSVM,0.6,0.4,0.6498096438857368,0.150368128674915,0.15659955257270694,0.19444444444444445,0.13108614232209737,0.10530228818411881
2_annthyroid.npz,KNN,OCSVM,0.5,0.5,0.6278192425984171,0.13781230303881598,0.14541387024608501,0.18055555555555555,0.12172284644194757,0.09314267061089493
2_annthyroid.npz,KNN,OCSVM,0.4,0.6,0.6080167005464591,0.1278851392779626,0.13870246085011187,0.17222222222222222,0.11610486891385768,0.0858469000669606
2_annthyroid.npz,KNN,OCSVM,0.3,0.7,0.5902879613804077,0.12004381116159747,0.11856823266219241,0.14722222222222223,0.09925093632958802,0.06395958843515762
2_annthyroid.npz,KNN,OCSVM,0.2,0.8,0.574342546614212,0.11411148764781158,0.116331096196868,0.14444444444444443,0.09737827715355805,0.061527664920512835
2_annthyroid.npz,KNN,OCSVM,0.1,0.9,0.5601731521466753,0.10947623919317838,0.11185682326621925,0.1388888888888889,0.09363295880149813,0.05666381789122328
2_annthyroid.npz,KNN,CBLOF,0.9,0.1,0.7407985180540526,0.21377199658622212,0.2550335570469799,0.31666666666666665,0.21348314606741572,0.21230692282848895
2_annthyroid.npz,KNN,CBLOF,0.8,0.2,0.7279663359594387,0.2061069834473595,0.2505592841163311,0.3111111111111111,0.20973782771535582,0.2074430757991994
2_annthyroid.npz,KNN,CBLOF,0.7,0.3,0.7144419498129588,0.1992785055692518,0.2460850111856823,0.3055555555555556,0.20599250936329588,0.20257922876990986
2_annthyroid.npz,KNN,CBLOF,0.6,0.4,0.7051609655347557,0.19409340941703646,0.2460850111856823,0.3055555555555556,0.20599250936329588,0.20257922876990986
2_annthyroid.npz,KNN,CBLOF,0.5,0.5,0.6927976505515719,0.18860845990585462,0.23937360178970915,0.2972222222222222,0.20037453183520598,0.19528345822597554
2_annthyroid.npz,KNN,CBLOF,0.4,0.6,0.6825008343530983,0.1837680113548044,0.23937360178970915,0.2972222222222222,0.20037453183520598,0.19528345822597554
2_annthyroid.npz,KNN,CBLOF,0.3,0.7,0.6734361638411033,0.17904700644601515,0.23489932885906042,0.2916666666666667,0.19662921348314608,0.19041961119668596
2_annthyroid.npz,KNN,CBLOF,0.2,0.8,0.6630814766869946,0.1725904044651806,0.23042505592841162,0.2861111111111111,0.19288389513108614,0.18555576416739641
2_annthyroid.npz,KNN,CBLOF,0.1,0.9,0.655630731612487,0.16864455593936745,0.2214765100671141,0.275,0.1853932584269663,0.17582807010881732
2_annthyroid.npz,COF,PCA,0.9,0.1,0.7216415461770895,0.18902636963223962,0.22595078299776283,0.28055555555555556,0.1891385767790262,0.18069191713810687
2_annthyroid.npz,COF,PCA,0.8,0.2,0.7329555989306796,0.19696355436463064,0.24161073825503354,0.3,0.20224719101123595,0.1977153817406203
2_annthyroid.npz,COF,PCA,0.7,0.3,0.7429290681877176,0.20427180037394624,0.24384787472035796,0.30277777777777776,0.20411985018726592,0.20014730525526508
2_annthyroid.npz,COF,PCA,0.6,0.4,0.7494224141515274,0.21192332280984827,0.232662192393736,0.28888888888888886,0.1947565543071161,0.1879876876820412
2_annthyroid.npz,COF,PCA,0.5,0.5,0.7513756993676894,0.21751876199153528,0.23042505592841162,0.2861111111111111,0.19288389513108614,0.18555576416739641
2_annthyroid.npz,COF,PCA,0.4,0.6,0.7486478984977148,0.21830942327307368,0.23937360178970915,0.2972222222222222,0.20037453183520598,0.19528345822597554
2_annthyroid.npz,COF,PCA,0.3,0.7,0.7413485730595532,0.214919116145123,0.23489932885906042,0.2916666666666667,0.19662921348314608,0.19041961119668596
2_annthyroid.npz,COF,PCA,0.2,0.8,0.728418909306661,0.2080356308839665,0.23489932885906042,0.2916666666666667,0.19662921348314608,0.19041961119668596
2_annthyroid.npz,COF,PCA,0.1,0.9,0.7072513431118392,0.19949053731798252,0.232662192393736,0.28888888888888886,0.1947565543071161,0.1879876876820412
2_annthyroid.npz,COF,HBOS,0.9,0.1,0.7376184247638247,0.1925558062751451,0.23042505592841162,0.2861111111111111,0.19288389513108614,0.18555576416739641
2_annthyroid.npz,COF,HBOS,0.8,0.2,0.7428105170067568,0.19965220706085618,0.23042505592841162,0.2861111111111111,0.19288389513108614,0.18555576416739641
2_annthyroid.npz,COF,HBOS,0.7,0.3,0.7335733573357336,0.199743309495873,0.24384787472035796,0.30277777777777776,0.20411985018726592,0.20014730525526508
2_annthyroid.npz,COF,HBOS,0.6,0.4,0.7198270388836637,0.19646839472354716,0.25727069351230425,0.3194444444444444,0.2153558052434457,0.21473884634313373
2_annthyroid.npz,COF,HBOS,0.5,0.5,0.7043510530828365,0.19229265668323503,0.24832214765100674,0.30833333333333335,0.20786516853932585,0.20501115228455463
2_annthyroid.npz,COF,HBOS,0.4,0.6,0.6880497038467892,0.18944393200830015,0.24832214765100674,0.30833333333333335,0.20786516853932585,0.20501115228455463
2_annthyroid.npz,COF,HBOS,0.3,0.7,0.6714840023328176,0.18761055527749335,0.24832214765100674,0.30833333333333335,0.20786516853932585,0.20501115228455463
2_annthyroid.npz,COF,HBOS,0.2,0.8,0.655140233124436,0.18595545069964817,0.24161073825503354,0.3,0.20224719101123595,0.1977153817406203
2_annthyroid.npz,COF,HBOS,0.1,0.9,0.639385286843291,0.18444458906675965,0.23937360178970915,0.2972222222222222,0.20037453183520598,0.19528345822597554
2_annthyroid.npz,COF,OCSVM,0.9,0.1,0.7126072157777577,0.18263985524932919,0.21476510067114093,0.26666666666666666,0.1797752808988764,0.168532299564883
2_annthyroid.npz,COF,OCSVM,0.8,0.2,0.7081553660984077,0.18088307980416535,0.21923937360178972,0.2722222222222222,0.18352059925093633,0.17339614659417255
2_annthyroid.npz,COF,OCSVM,0.7,0.3,0.6970638075043459,0.1725954803373504,0.21029082774049218,0.2611111111111111,0.1760299625468165,0.16366845253559342
2_annthyroid.npz,COF,OCSVM,0.6,0.4,0.68077144793131,0.15963991078567238,0.18568232662192394,0.23055555555555557,0.15543071161048688,0.13691729387450088
2_annthyroid.npz,COF,OCSVM,0.5,0.5,0.6613874870633132,0.14480859215020395,0.16331096196868009,0.20277777777777778,0.13670411985018727,0.11259805872805313
2_annthyroid.npz,COF,OCSVM,0.4,0.6,0.6400904135357357,0.13222197187565066,0.13870246085011187,0.17222222222222222,0.11610486891385768,0.0858469000669606
2_annthyroid.npz,COF,OCSVM,0.3,0.7,0.617876394381011,0.12303052786871829,0.12304250559284115,0.1527777777777778,0.10299625468164794,0.06882343546444716
2_annthyroid.npz,COF,OCSVM,0.2,0.8,0.5952016549969604,0.11533982439040048,0.11185682326621925,0.1388888888888889,0.09363295880149813,0.05666381789122328
