Dataset,Local Method,Global Method,Weight Local,Weight Global,AUC-ROC,AUC-PR,F1-score,Precision,Recall,MCC
4_breastw.npz,LOF,HBOS,0.5,0.5,0.9777601869652078,0.9222183132794441,0.2335766423357664,0.9142857142857143,0.13389121338912133,0.27499967567940076
4_breastw.npz,LOF,HBOS,0.4,0.6,0.9808228730822874,0.9476447324295993,0.24817518248175185,0.9714285714285714,0.14225941422594143,0.30284413175960695
4_breastw.npz,LOF,HBOS,0.3,0.7,0.983367258471861,0.955576967450159,0.24817518248175185,0.9714285714285714,0.14225941422594143,0.30284413175960695
4_breastw.npz,LOF,HBOS,0.2,0.8,0.9844886727731916,0.9581166698327316,0.24817518248175185,0.9714285714285714,0.14225941422594143,0.30284413175960695
4_breastw.npz,LOF,HBOS,0.1,0.9,0.9849692789023333,0.9591157146427587,0.24817518248175185,0.9714285714285714,0.14225941422594143,0.30284413175960695
4_breastw.npz,LOF,OCSVM,0.9,0.1,0.8624052923216103,0.5974558114557619,0.0,0.0,0.0,-0.1679285645037019
4_breastw.npz,LOF,OCSVM,0.8,0.2,0.9210015454785329,0.7127351042879773,0.072992700729927,0.2857142857142857,0.04184100418410042,-0.03128934120286711
4_breastw.npz,LOF,OCSVM,0.7,0.3,0.9514964755550529,0.801402271698276,0.16788321167883213,0.6571428571428571,0.09623430962343096,0.149699623318473
4_breastw.npz,LOF,OCSVM,0.6,0.4,0.9646424667345169,0.8480128965985876,0.20437956204379562,0.8,0.11715481171548117,0.21931076351898843
4_breastw.npz,LOF,OCSVM,0.5,0.5,0.9675355271589581,0.8618963357198463,0.20437956204379562,0.8,0.11715481171548117,0.21931076351898843
4_breastw.npz,LOF,OCSVM,0.4,0.6,0.9718609823212333,0.8847425846437923,0.218978102189781,0.8571428571428571,0.12552301255230125,0.2471552195991946
4_breastw.npz,LOF,OCSVM,0.3,0.7,0.9733593426062045,0.8877439528872758,0.218978102189781,0.8571428571428571,0.12552301255230125,0.2471552195991946
4_breastw.npz,LOF,OCSVM,0.2,0.8,0.975017904934223,0.9057816160324546,0.2335766423357664,0.9142857142857143,0.13389121338912133,0.27499967567940076
4_breastw.npz,LOF,OCSVM,0.1,0.9,0.9765351125183761,0.9117087459409603,0.2335766423357664,0.9142857142857143,0.13389121338912133,0.27499967567940076
4_breastw.npz,LOF,IForest,0.9,0.1,0.8550171510422557,0.5891384713683665,0.0,0.0,0.0,-0.17051162160389796
4_breastw.npz,LOF,IForest,0.8,0.2,0.8972822194579517,0.6658521166208297,0.0583941605839416,0.22857142857142856,0.03347280334728033,-0.05913379728307328
4_breastw.npz,LOF,IForest,0.7,0.3,0.9426476685890911,0.7865183299398646,0.16058394160583941,0.6285714285714286,0.09205020920502092,0.1357773952783699
4_breastw.npz,LOF,IForest,0.6,0.4,0.9625504165253119,0.8649370427624167,0.218978102189781,0.8571428571428571,0.12552301255230125,0.2471552195991946
4_breastw.npz,LOF,IForest,0.5,0.5,0.9727185344340156,0.8963979897345187,0.218978102189781,0.8571428571428571,0.12552301255230125,0.2471552195991946
4_breastw.npz,LOF,IForest,0.4,0.6,0.9766670436126502,0.9179890402436662,0.2335766423357664,0.9142857142857143,0.13389121338912133,0.27499967567940076
4_breastw.npz,LOF,IForest,0.3,0.7,0.980577858192921,0.9372573099139323,0.2335766423357664,0.9142857142857143,0.13389121338912133,0.27499967567940076
4_breastw.npz,LOF,IForest,0.2,0.8,0.9840740321911869,0.9558234906217357,0.24087591240875908,0.9428571428571428,0.13807531380753138,0.2889219037195038
4_breastw.npz,LOF,IForest,0.1,0.9,0.9833012929247239,0.9573325042947152,0.24817518248175185,0.9714285714285714,0.14225941422594143,0.30284413175960695
4_breastw.npz,LOF,MCD,0.9,0.1,0.7870443665422745,0.5000421903485605,0.0,0.0,0.0,-0.1679285645037019
4_breastw.npz,LOF,MCD,0.8,0.2,0.9034829808888386,0.7132486320795806,0.16058394160583941,0.6285714285714286,0.09205020920502092,0.1357773952783699
4_breastw.npz,LOF,MCD,0.7,0.3,0.9464925176222247,0.8780349749164426,0.24817518248175185,0.9714285714285714,0.14225941422594143,0.30284413175960695
4_breastw.npz,LOF,MCD,0.6,0.4,0.8982434317162351,0.7385446568025957,0.20437956204379562,0.8,0.11715481171548117,0.21931076351898843
4_breastw.npz,LOF,MCD,0.5,0.5,0.9206434467940744,0.8020830228992943,0.24087591240875908,0.9428571428571428,0.13807531380753138,0.2889219037195038
4_breastw.npz,LOF,MCD,0.4,0.6,0.947350069735007,0.8758943772803958,0.24087591240875908,0.9428571428571428,0.13807531380753138,0.2889219037195038
4_breastw.npz,LOF,MCD,0.3,0.7,0.9864959101360774,0.9757567732387629,0.2554744525547445,1.0,0.14644351464435146,0.31676635979971
4_breastw.npz,LOF,MCD,0.2,0.8,0.9786648573259452,0.949530102356289,0.24817518248175185,0.9714285714285714,0.14225941422594143,0.30284413175960695
4_breastw.npz,LOF,MCD,0.1,0.9,0.9580836066191715,0.9147151196999691,0.24087591240875908,0.9428571428571428,0.13807531380753138,0.2889219037195038
4_breastw.npz,LOF,GMM,0.9,0.1,0.7752553809039164,0.4905222335198124,0.0,0.0,0.0,-0.1679285645037019
4_breastw.npz,LOF,GMM,0.8,0.2,0.8267744732179879,0.5635658295018973,0.0364963503649635,0.14285714285714285,0.02092050209205021,-0.10090048140338254
4_breastw.npz,LOF,GMM,0.7,0.3,0.8716404689208037,0.6509210049314069,0.1167883211678832,0.45714285714285713,0.06694560669456066,0.0522440270377514
4_breastw.npz,LOF,GMM,0.6,0.4,0.9029364092125598,0.7498331205663515,0.18978102189781024,0.7428571428571429,0.1087866108786611,0.19146630743878226
4_breastw.npz,LOF,GMM,0.5,0.5,0.9288420219382563,0.8292511295893714,0.22627737226277375,0.8857142857142857,0.1297071129707113,0.2610774476392977
4_breastw.npz,LOF,GMM,0.4,0.6,0.9481510799502432,0.8764295990756098,0.24087591240875908,0.9428571428571428,0.13807531380753138,0.2889219037195038
4_breastw.npz,LOF,GMM,0.3,0.7,0.9601568095291945,0.9060792848567308,0.24087591240875908,0.9428571428571428,0.13807531380753138,0.2889219037195038
4_breastw.npz,LOF,GMM,0.2,0.8,0.9663764182592635,0.9230752070250087,0.24087591240875908,0.9428571428571428,0.13807531380753138,0.2889219037195038
4_breastw.npz,LOF,GMM,0.1,0.9,0.9699668287534395,0.9323468477122803,0.24087591240875908,0.9428571428571428,0.13807531380753138,0.2889219037195038
4_breastw.npz,KNN,PCA,0.9,0.1,0.9798051189264578,0.9450056457790151,0.2554744525547445,1.0,0.14644351464435146,0.31676635979971
4_breastw.npz,KNN,PCA,0.8,0.2,0.9825191300086699,0.9543887128306161,0.2554744525547445,1.0,0.14644351464435146,0.31676635979971
4_breastw.npz,KNN,PCA,0.7,0.3,0.9848656187568321,0.9620912904828272,0.2554744525547445,1.0,0.14644351464435146,0.31676635979971
4_breastw.npz,KNN,PCA,0.6,0.4,0.9865430283840326,0.9680432656476139,0.2554744525547445,1.0,0.14644351464435146,0.31676635979971
4_breastw.npz,KNN,PCA,0.5,0.5,0.9875796298390441,0.9719013774226799,0.2554744525547445,1.0,0.14644351464435146,0.31676635979971
4_breastw.npz,KNN,PCA,0.4,0.6,0.9870519054619473,0.973440057464533,0.2554744525547445,1.0,0.14644351464435146,0.31676635979971
4_breastw.npz,KNN,PCA,0.3,0.7,0.9826604847525349,0.9716625135188202,0.2554744525547445,1.0,0.14644351464435146,0.31676635979971
4_breastw.npz,KNN,PCA,0.2,0.8,0.9750273285838139,0.9695179592498903,0.2554744525547445,1.0,0.14644351464435146,0.31676635979971
4_breastw.npz,KNN,PCA,0.1,0.9,0.9692223604357496,0.9659742412282569,0.2554744525547445,1.0,0.14644351464435146,0.31676635979971
4_breastw.npz,KNN,HBOS,0.9,0.1,0.9798993554223681,0.9482495647435136,0.2554744525547445,1.0,0.14644351464435146,0.31676635979971
4_breastw.npz,KNN,HBOS,0.8,0.2,0.9836311206604094,0.9618963363085993,0.2554744525547445,1.0,0.14644351464435146,0.31676635979971
4_breastw.npz,KNN,HBOS,0.7,0.3,0.986825737871763,0.9708467482970999,0.2554744525547445,1.0,0.14644351464435146,0.31676635979971
4_breastw.npz,KNN,HBOS,0.6,0.4,0.9883240981567342,0.9736375601585507,0.2554744525547445,1.0,0.14644351464435146,0.31676635979971
4_breastw.npz,KNN,HBOS,0.5,0.5,0.9884748765501903,0.9728130992462279,0.2554744525547445,1.0,0.14644351464435146,0.31676635979971
4_breastw.npz,KNN,HBOS,0.4,0.6,0.9882769799087789,0.9708025947912858,0.2554744525547445,1.0,0.14644351464435146,0.31676635979971
4_breastw.npz,KNN,HBOS,0.3,0.7,0.9876832899845452,0.9685967619759666,0.2554744525547445,1.0,0.14644351464435146,0.31676635979971
4_breastw.npz,KNN,HBOS,0.2,0.8,0.9869199743676732,0.9654286413832798,0.24817518248175185,0.9714285714285714,0.14225941422594143,0.30284413175960695
4_breastw.npz,KNN,HBOS,0.1,0.9,0.9860812695540728,0.9622851300417365,0.24817518248175185,0.9714285714285714,0.14225941422594143,0.30284413175960695
4_breastw.npz,KNN,OCSVM,0.9,0.1,0.9767235855101964,0.9350783427065303,0.2554744525547445,1.0,0.14644351464435146,0.31676635979971
4_breastw.npz,KNN,OCSVM,0.8,0.2,0.9768178220061066,0.9356789443133287,0.2554744525547445,1.0,0.14644351464435146,0.31676635979971
4_breastw.npz,KNN,OCSVM,0.7,0.3,0.9769968713483358,0.9362052386857995,0.2554744525547445,1.0,0.14644351464435146,0.31676635979971
4_breastw.npz,KNN,OCSVM,0.6,0.4,0.9772136152889291,0.9368244769095313,0.2554744525547445,1.0,0.14644351464435146,0.31676635979971
4_breastw.npz,KNN,OCSVM,0.5,0.5,0.9774492065287044,0.9374676337828881,0.24817518248175185,0.9714285714285714,0.14225941422594143,0.30284413175960695
4_breastw.npz,KNN,OCSVM,0.4,0.6,0.9775622903237966,0.937844931633509,0.24817518248175185,0.9714285714285714,0.14225941422594143,0.30284413175960695
4_breastw.npz,KNN,OCSVM,0.3,0.7,0.9777224923668438,0.9383496816009831,0.24817518248175185,0.9714285714285714,0.14225941422594143,0.30284413175960695
4_breastw.npz,KNN,OCSVM,0.2,0.8,0.9780334728033473,0.9392267638985097,0.24817518248175185,0.9714285714285714,0.14225941422594143,0.30284413175960695
4_breastw.npz,KNN,OCSVM,0.1,0.9,0.9783067586414868,0.9398520370700548,0.24087591240875908,0.9428571428571428,0.13807531380753138,0.2889219037195038
4_breastw.npz,KNN,IForest,0.9,0.1,0.9777319160164348,0.9393264434630859,0.2554744525547445,1.0,0.14644351464435146,0.31676635979971
4_breastw.npz,KNN,IForest,0.8,0.2,0.9787873647706283,0.9436930707918575,0.2554744525547445,1.0,0.14644351464435146,0.31676635979971
4_breastw.npz,KNN,IForest,0.7,0.3,0.9800689811150063,0.948518901538445,0.2554744525547445,1.0,0.14644351464435146,0.31676635979971
4_breastw.npz,KNN,IForest,0.6,0.4,0.9824531644615326,0.9562995767233063,0.2554744525547445,1.0,0.14644351464435146,0.31676635979971
4_breastw.npz,KNN,IForest,0.5,0.5,0.9842436578838252,0.9626179892114836,0.2554744525547445,1.0,0.14644351464435146,0.31676635979971
4_breastw.npz,KNN,IForest,0.4,0.6,0.98335783482227,0.9589278468605349,0.2554744525547445,1.0,0.14644351464435146,0.31676635979971
